topic,tweetid,text
clinton emails,7.05E+17,"""How was WH aware of the progress of the Clinton scandal? @PressSec the public has a right to know how you received your info #clinton emails """
clinton emails,7.05E+17,"""The AG's refusal to comment on how the WH was aware of progress of investigation into Clinton is an affront to the public #clinton emails """
clinton emails,7.05E+17,"""State department released last of #clinton emails. What might be next: https://t.co/nzHChWJHwo """
clinton emails,7.05E+17,"""US State Department releases final batch of Clinton emails https://t.co/Nz48o2KgGK #USA #clinton emails https://t.co/PlEEtMbjUe """
clinton emails,7.05E+17,"""Right before #SuperTuesday?? #clinton emails  https://t.co/c9LxexkQPa """
clinton emails,7.05E+17,"""#WASHTimes https://t.co/fCnipWUbrr Critics: #BernieSanders made mistake not going after #clinton emails. _Ñ_ https://t.co/2Bux6shjMs """
clinton emails,7.05E+17,"""Critics: #BernieSanders made mistake not going after #clinton emails. https://t.co/YYbaLXYo04 #HillaryClinton https://t.co/QZhEJrNDTe """
clinton emails,7.04E+17,"""State Dept. to withhold two new Clinton emails | Washington Examiner  #clinton emails  https://t.co/1luYjFxK5Q """
clinton emails,7.04E+17,"""#Clinton was employee in corporation with #emailscandal she would not b made head of d board she would b fired #clinton emails #Election2016 """
clinton emails,7.04E+17,"""If #Clinton was employee in corporation with #emailscandal she wud not b made head of d board she wud b fired #clinton emails #Election2016 """
clinton emails,7.04E+17,"""State Dept finishes Clinton email release, more than 52k out (from @AP) #clinton emails  https://t.co/kpnSA8hcpZ """
clinton emails,7.04E+17,"""#clinton emails 2080 classified emails .... really this has to be the worst options available ever in presidential election history """
clinton emails,7.04E+17,"""The final 1,700 #Clinton emails were just released, except one: https://t.co/AjfsxpME0C #clinton emails #SuperTuesday #FeelTheBern """
clinton emails,7.04E+17,"""#SuperTuesday Must Read: @StateDept declares 261 new @HillaryClinton #clinton emails  classified. https://t.co/OcMDnrraNB via DCExaminer """
clinton emails,7.04E+17,"""@StateDept declares 261 new @HillaryClinton #clinton emails  classified https://t.co/OcMDnrraNB via DCExaminer """
clinton emails,7.05E+17,"""#clinton emailscandal REPORT: Hillary_Ñés Email Account an Open Secret in Washington Long Before Scandal Broke https://t.co/mdj3uXaGqR """
clinton emails,7.05E+17,"""Clinton forwarded email to staffers, unsure if it was classified https://t.co/PQhCqXYaPz #Hillaryclinton emails  https://t.co/K9p6KBry4e """
clinton emails,7.05E+17,"""10 Reasons Why You Should and Should Not Vote For H https://t.co/ajHGEImLDQ #democrats #election2016 #hillaryclinton #hillaryclinton emails """
clinton emails,7.05E+17,"""State Dept: Review of Hillary Clinton secret emails may wait until after election -Washington Times #Felon #Benghazi https://t.co/Hy36I7T3XI """
clinton emails,7.01E+17,"""State Dept. classifies 64 new Clinton emails https://t.co/heDOwR2j6C via @DCExaminer #HillaryForPrison #Benghazi https://t.co/VvtktFvNW0 """
cnn,7.05E+17,"""#CNN Likelihood of Establishment Republican voting for Trump candidacy is same as likelihood of Sen. Inhofe tossing a snowball in Senate. """
cnn,7.01E+17,"""LOL! Must see! #WillFerrell just switched to #HillaryClinton! #GeorgeWBush Cold Open  https://t.co/hMklDWmcrX via  #SCPrimary #CNN #FoxNews """
cnn,7.05E+17,"""#CNN NOT REPORTING  voter fraud???   oh wait. They only go after #Trump  https://t.co/XpMr6CP4Y8 """
cnn,7.05E+17,"""@kayleighmcenany -omg how is this Trump bimbo on #CNN, seriously guys. """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama Your crazy Lady I rocked the Republican Party """
cnn,7.04E+17,"""It isn't that trump is so great, it is that the others are so lame, he looks like the only choice they have? #CNN """
cnn,7.04E+17,"""#BernieSanders promise's a black actor will win an Academy award, and an Oscar if you vote for him? #CNN @HillaryClinton """
cnn,7.04E+17,"""#IRS hack even worse than Hillary email scandal, yes that's right an actual security breach, is it the state dept fault? #cnn """
cnn,7.05E+17,"""Is it because #CNN is pulling as hard for #Trump as #Hillary _ªÉ_ #ThinkAboutThat  https://t.co/BcEglkow4X """
cnn,7.05E+17,"""#Hillary Will Protect #Obama's Legacy of Total Gridlock &amp; Dysfunction in #Congress~Voters Want MORE OF SAME? #DonaldTrump #nyt #cnn #wsj #ap """
cnn,7.04E+17,"""Marco is so sure Hillary lied, yet he has no proof of that lie he is spreading, maybe the Donald is right about #rubio and his lying? #CNN """
cnn,7.04E+17,"""If you vote for Marco Rubio Christianity will run rampant in our government, kind of like the Taliban does in IRAQ! #CNN """
cnn,7.05E+17,"""The electorate isn't pissed at the Republican establishment its pissed at the entire government and especially Obama's administration. #CNN """
cnn,7.05E+17,"""#CNN #SuperTuesday...how hard is it gonna be for #DanaBash to choke down the #Winner's name..when it is #TRUMP...like an egg yolk.. """
cnn,7.04E+17,"""Why the censored media, is this North Korea? #cnn #msnbc #BernieSanders #mediablackout  https://t.co/F6k9U49pIk """
cnn,7.05E+17,"""This is nothing more than #CNN and #Blitzer playing payback for @tedcruz calling them out for messing up in Iowa. https://t.co/UmOREtJb2j """
cnn,7.05E+17,"""Inside the Clinton Team_Ñés Plan to Defeat Donald Trump https://t.co/xHIsLOsRMh TeamHillary gaat er al vanuit #cnn #HillzvsTrump #SuperTuesday """
cnn,7.05E+17,"""@FBI @OfficeGovEthics @GOP #CNN How is it  possible to separate Mr #Trump fr HIS life-long multi-billion dollar family business? #BlindTrust """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  You rocked #Vermont you plagiarizing fool #Sanders """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  Just in #Sanders knows how to shut out the rest of America and only look out for white people 95% lOL """
cnn,7.05E+17,"""Max Blumenthal: GOP Elite Prefer Losing the White House over a Trump  Presidency https://t.co/bd4PW5qOou #FoxNews #NYTimes #MSNBC #cnn """
cnn,7.05E+17,"""2Day continues media attack on @realDonaldTrump, bias reporting for @HillaryClinton against @BernieSanders. Media bias is aliveandwell #CNN """
cnn,7.05E+17,"""That image @CNN constantly use for #DonaldTrump is particularly terrifying. Which is what he is. #Trump #SuperTuesday #CNN """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un   You all should be brought up on charges for conspiracy to Help #Sanders misrepresenthim self and deceive voters Donors """
cnn,7.05E+17,"""#CNN just said #Bernie should have brought up #Hillary's dark history he still has time! Time to bring out the #Truth!!!!! #SuperTuesday """
cnn,7.05E+17,"""Let's call it, ""American Exceptionalism"", you want what we have, do what we do #cnn #foxnews #msnbc #abc #cbs #nbc #republican """
cnn,7.05E+17,"""Let's call it, ""American Exceptionalism"", you want what we have, do what we do #cnn #foxnews #msnbc #abc #cbs #nbc #democrat """
cnn,7.05E+17,"""Do you #FeelTheBern like these celebs who endorse @BernieSanders for President? https://t.co/fMBzDo1VP8 #SuperTuesday #UniteBlue #CNN """
