,hashtag,count,candidate,sentiment
880,sandersonhardball,3455,sanders,
881,readyforhillary,3453,hillary,pos
885,fodtrumpmovie,3431,trump,
891,veteransfortrump,3410,trump,pos
893,mikehuckabee,3396,huckabee,
897,bernieblackout,3372,bern,
901,iambernie,3352,bern,
906,ivankatrump,3330,trump,
909,trumps,3319,trump,
911,bernieinmn,3306,bern,
913,vote4bernie,3286,bern,pos
914,byebyebernie,3283,bern,
920,votetrumptx,3245,trump,pos
925,conmantrump,3234,trump,
930,nohillary,3219,hillary,
931,nohillary2016,3212,hillary,pos
932,youtubeberns,3211,bern,
938,awkwardjeb,3189,jeb,
939,newhampshirefortrump,3187,trump,pos
947,berners,3127,bern,
950,hillaryinnv,3114,hillary,
954,freechrischristie,3110,christie,
956,berniebro,3094,bern,
962,imwithhillary,3056,hillary,pos
963,berniewon,3046,bern,
964,votetrumpoh,3028,trump,pos
965,latinosfortrump,3027,trump,pos
967,vets4bernie,3019,bern,pos
974,womenfortrump,2999,trump,pos
975,gotrump,2997,trump,
976,trumprally,2995,trump,
977,welovetrump,2994,trump,pos
978,studentsfortrump,2989,trump,pos
979,littlerubio,2988,rubio,
991,caucusfortrumpnv,2951,trump,pos
996,hillaryinnh,2922,hillary,
998,votecruz,2918,cruz,pos
1006,berniemadoff,2898,bern,
1009,fucktrump,2889,trump,
1010,losewithcruz,2889,cruz,
1021,youmightbeatrumpvoterif,2844,trump,pos
1025,bencarson2016,2836,carson,pos
1033,donatetohillary,2821,hillary,
1042,votetrumpil,2800,trump,pos
1045,trumpwinsnv,2798,trump,pos
1054,berniebus,2769,bern,
1055,bernieinaustin,2767,bern,
1057,mississippiberning,2753,bern,
1068,jeb2016,2712,jeb,pos
1070,berniewins,2711,bern,pos
1072,floridafortrump,2695,trump,pos
1076,turnoutfortrump,2688,trump,pos
1086,women4trump,2655,trump,pos
1088,berniewontdebate,2649,bern,
1090,hillary4prison2016,2642,hillary,neg
1105,shillary,2592,hillary,
1142,clintonemails,2481,clinton,
1145,berned,2475,bern,
1149,blacksfortrump,2466,trump,pos
1158,berniecantdeliver,2447,bern,
1175,dumprubio,2423,rubio,neg
1176,dumpcruz,2422,cruz,neg
1183,fl4trump,2393,trump,pos
1190,teamtrump2016,2379,trump,pos
1196,dontrustrump,2369,trump,
1206,nocruz,2349,cruz,
1218,stealthebern,2328,bern,
1221,trump16,2309,trump,
1222,kasich2016,2309,kasich,pos
1224,dumpthetrump,2307,trump,neg
1230,clinton2016,2299,clinton,pos
1243,cruzrubio2016,2270,rubio,pos
1248,nurses4bernie,2258,bern,pos
1251,teamhillary,2253,hillary,pos
1260,janesanders,2238,sanders,
1264,huckabee2016,2228,huckabee,pos
1270,wfp4bernie,2217,bern,pos
1281,bernieinks,2192,bern,
1292,losecruz,2164,cruz,
1295,women4berniemeetup,2162,bern,pos
1298,conartisttrump,2153,trump,
1300,cruzmissile,2144,cruz,
1301,votetrumpky,2144,trump,pos
1306,votefortrump,2137,trump,pos
1314,trumponcnn,2123,trump,
1317,bernieinil,2114,bern,
1332,cruzintovictory,2092,cruz,pos
1339,carson2016,2080,carson,pos
1356,hawaiifortrump,2043,trump,pos
1365,notfeelingthebern,2022,bern,neg
1376,teamrubio,2005,rubio,pos
1386,clintonfoundation,1994,clinton,
1398,bernbabybern,1978,bern,
1399,youcruzyoulose,1976,cruz,
1400,cruzcountry,1974,cruz,
1408,trumpwillwin,1966,trump,pos
1414,lyingcruz,1958,cruz,
1416,berniebaby,1956,bern,
1423,hillaryforprision2016,1946,hillary,pos
1434,vivabernie,1921,bern,
1436,trumpdog,1919,trump,
1437,trumpmentum,1918,trump,
1441,rubiocruz,1914,rubio,
1446,bernyourenthusiasm,1907,bern,
1447,votetrumpsupertuesday,1907,trump,pos
1454,votehillary,1896,hillary,pos
1458,georgewbush,1886,bush,
1479,vets4trump,1847,trump,pos
1484,unclebernie,1839,bern,
1493,trumpvoter,1830,trump,pos
1510,marcorubio2016,1801,rubio,pos
1513,latinosforbernie,1798,bern,pos
1516,cruzcrowd,1795,cruz,
1517,weneedtrump,1795,trump,
1524,trumpnv,1781,trump,
1536,trumpsters,1765,trump,
1539,ohiovotes4trump,1762,trump,pos
1545,cruzvalues,1749,cruz,
1546,sanderstrumpdebatenow,1749,sanders,
1547,tedcruziscrazy,1747,cruz,
1557,trumpcare,1735,trump,
1568,trumpkins,1713,trump,
1576,trumpswall,1707,trump,
1607,marchforbernie2,1661,bern,pos
1608,votetedcruz,1660,cruz,pos
1610,love4bernie,1658,bern,pos
1611,welovehillary,1656,hillary,pos
1615,berninlove,1647,bern,pos
1622,trumpforpresident2016,1644,trump,pos
1627,marcobot,1640,marco,
1640,millenniumsforhillary,1624,hillary,pos
1641,hillaryclintonlies,1624,clinton,
1646,trumpalways,1618,trump,
